"fare_id","route_id","origin_id","destination_id","contains_id"
"100634-3","100634-Z_7722","0","",""
"100634-3","100634-Z_7723","0","",""
"100634-3","100634-Z_7722","0","",""
"100634-3","100634-Z_7723","0","",""
"100634-3","100634-Z_7696-2","0","",""
"100634-3","100634-Z_7696","0","",""
"100634-3","100634-Z_7696-2","0","",""
"100634-3","100634-Z_7696","0","",""
"100634-3","100634-Z_5640","0","",""
"100634-3","100634-Z_5640","0","",""
"100634-3","100634-Z_5640","0","",""
"100634-3","100634-Z_5641-2","0","",""
"100634-3","100634-Z_7727","0","",""
"100634-3","100634-Z_7650","0","",""
"100634-3","100634-Z_7007","0","",""
"100634-3","100634-Z_7007","0","",""
"100634-3","100634-Z_7019-2","0","",""
"100634-3","100634-Z_7019-2","0","",""
"100634-3","100634-Z_7028","0","",""
"100634-3","100634-Z_7028","0","",""
"100634-3","100634-Z_7367-2","0","",""
"100634-3","100634-Z_7367-2","0","",""
"100634-3","100634-Z_5982-2","0","",""
"100634-3","100634-Z_5983-2","0","",""
"100634-3","100634-Z_5982-2","0","",""
"100634-3","100634-Z_5982-2","0","",""
"100634-3","100634-Z_5811","0","",""
"100634-3","100634-Z_5811","0","",""
"100634-3","100634-Z_4791-2","0","",""
"100634-3","100634-Z_4791-2","0","",""
"100634-3","100634-Z_4791-2","0","",""
"100634-3","100634-Z_4791-2","0","",""
"100634-3","100634-Z_7623","0","",""
"100634-3","100634-Z_7554","0","",""
"100634-3","100634-Z_7554","0","",""
"100634-3","100634-Z_6970","0","",""
"100634-3","100634-Z_6970-2","0","",""
"100634-3","100634-Z_7870","0","",""
"100634-3","100634-Z_7869-2","0","",""
"100634-3","100634-Z_7870-2","0","",""
"100634-3","100634-Z_7870","0","",""
"100634-3","100634-Z_6980","0","",""
"100634-3","100634-Z_6980","0","",""
"100634-3","100634-Z_7448","0","",""
"100634-3","100634-Z_7447-2","0","",""
"100634-3","100634-Z_7447-2","0","",""
"100634-3","100634-Z_7448","0","",""
"100634-3","100634-Z_5492","0","",""
"100634-3","100634-Z_5492","0","",""
"100634-3","100634-Z_7290","0","",""
"100634-3","100634-Z_7290","0","",""
"100634-3","100634-Z_6542-2","0","",""
"100634-3","100634-Z_6542","0","",""
"100634-3","100634-Z_5439","0","",""
"100634-3","100634-Z_5439","0","",""
"100634-3","100634-Z_5439","0","",""
"100634-3","100634-Z_5439","0","",""
"100634-3","100634-Z_7664","0","",""
"100634-3","100634-Z_7664","0","",""
"100634-3","100634-Z_5766-2","0","",""
"100634-3","100634-Z_5766-2","0","",""
"100634-3","100634-Z_5224","0","",""
"100634-3","100634-Z_5224","0","",""
"100634-3","100634-Z_5229-2","0","",""
"100634-3","100634-Z_5224","0","",""
"100634-3","100634-Z_6834-2","0","",""
"100634-3","100634-Z_6834-2","0","",""
"100634-3","100634-Z_4899","0","",""
"100634-3","100634-Z_4899","0","",""
"100634-3","100634-Z_6091","0","",""
"100634-3","100634-Z_6091","0","",""
"100634-3","100634-Z_7761","0","",""
"100634-3","100634-Z_7675","0","",""
"100634-3","100634-Z_7884","0","",""
"100634-3","100634-Z_7884","0","",""
"100634-3","100634-Z_7884","0","",""
"100634-3","100634-Z_7094-2","0","",""
"100634-3","100634-Z_7094-2","0","",""
"100634-3","100634-Z_7919-2","0","",""
"100634-3","100634-Z_7919-2","0","",""
"100634-3","100634-Z_7919-2","0","",""
"100634-3","100634-Z_7919-2","0","",""
"100634-3","100634-Z_7011","0","",""
"100634-3","100634-Z_7011","0","",""
"100634-3","100634-Z_4788-2","0","",""
"100634-3","100634-Z_4788-2","0","",""
"100634-3","100634-Z_5882","0","",""
"100634-3","100634-Z_5882-2","0","",""
"100634-3","100634-Z_5882","0","",""
"100634-3","100634-Z_5882-2","0","",""
"100634-3","100634-Z_5024","0","",""
"100634-3","100634-Z_5261","0","",""
"100634-3","100634-Z_5261","0","",""
"100634-3","100634-Z_5261","0","",""
"100634-3","100634-Z_7568","0","",""
"100634-3","100634-Z_5448-2","0","",""
"100634-3","100634-Z_5448-2","0","",""
"100634-3","100634-Z_6815","0","",""
"100634-3","100634-Z_6762","0","",""
"100634-3","100634-Z_4628","0","",""
"100634-3","100634-Z_4628","0","",""
"100634-3","100634-Z_7906-2","0","",""
"100634-3","100634-Z_7906-2","0","",""
"100634-3","100634-Z_7906-2","0","",""
"100634-3","100634-Z_7906-2","0","",""
"100634-3","100634-Z_7685","0","",""
"100634-3","100634-Z_7685","0","",""
"100634-3","100634-Z_5578","0","",""
"100634-3","100634-Z_5578","0","",""
"100634-3","100634-Z_7553","0","",""
"100634-3","100634-Z_7553","0","",""
"100634-3","100634-Z_7553","0","",""
"100634-3","100634-Z_7553","0","",""
"100634-3","100634-Z_6590-2","0","",""
"100634-3","100634-Z_6590-2","0","",""
"100634-3","100634-Z_7729-2","0","",""
"100634-3","100634-Z_7729-2","0","",""
"100634-3","100634-Z_7729-2","0","",""
"100634-3","100634-Z_7729-2","0","",""
"100634-3","100634-Z_6995-2","0","",""
"100634-3","100634-Z_6995","0","",""
"100634-3","100634-Z_7597","0","",""
"100634-3","100634-Z_7597","0","",""
"100634-3","100634-Z_7804","0","",""
"100634-3","100634-Z_5786","0","",""
"100634-3","100634-Z_5785","0","",""
"100634-3","100634-Z_6169-2","0","",""
"100634-3","100634-Z_6169","0","",""
