"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"100634-Z_7722","100634-3","7","Palmitas - Consuelo","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7723","100634-3","7","Consuelo Nocturna","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7696-2","100634-3","12","Puente Grande Ciclovia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7696","100634-3","12","Chapinero Ciclovia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_5640","100634-3","37","Unicentro","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_5641-2","100634-3","37","Engativa Ciclovia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7727","100634-3","39","Patio Bonito","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7650","100634-3","39","Diana Turbay","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7007","100634-3","60","Zarazota","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7019-2","100634-3","91","San Jose","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7028","100634-3","91","Porciuncula Ciclovia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7367-2","100634-3","94","Bosa San Diego","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_5982-2","100634-3","97","Rincon De Venecia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_5983-2","100634-3","97","Rincon De Venecia Ciclovia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_5811","100634-3","99","Germania","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_4791-2","100634-3","C1","Roma","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7623","100634-3","P7","Porvenir","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7554","100634-3","P7","Pinares Ciclovia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_6970","100634-3","Z8","Toberin","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_6970-2","100634-3","Z8","Metrovivienda","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7870","100634-3","111","Gaviotas Ciclovia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7869-2","100634-3","111","Metrovivienda","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7870-2","100634-3","111","Metrovivienda Ciclovia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_6980","100634-3","117","Libertadores","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7448","100634-3","120","Egipto Ciclovia","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7447-2","100634-3","120","Bosa San Diego","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_5492","100634-3","128","Centro","Urbano","3","","00618E","FFFFFF","","",""
"100634-Z_7290","100634-3","139","Bosa San Jose","Urbano","3","","00618E","FFFFFF","","",""
