"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100634-ESTACION_9001","9001","Molinos","4.55742","-74.121797","0","","1","","","","0","",""
"100634-ESTACION_5100","5100","Banderas","4.631326","-74.145663","0","","1","","","","0","",""
"100634-ESTACION_4000","4000","Portal 80","4.709665","-74.110686","0","","1","","","","0","",""
"100634-ESTACION_3000","3000","Portal Suba","4.746993","-74.094253","0","","1","","","","0","",""
"100634-ESTACION_90004","90004","Portal Usme","4.531844","-74.119448","0","","1","","","","0","",""
"100634-ESTACION_9100","9100","Calle 40 Sur","4.575796","-74.120059","0","","1","","","","0","",""
"100634-ESTACION_8000","8000","Portal Tunal","4.570912","-74.139575","0","","1","","","","0","",""
"100634-ESTACION_7000","7000","Portal del Sur","4.597351","-74.169329","0","","1","","","","0","",""
"100634-ESTACION_6000","6000","Portal Eldorado","4.682083","-74.121693","0","","1","","","","0","",""
"100634-ESTACION_5000","5000","Portal Américas","4.629569","-74.173221","0","","1","","","","0","",""
"100634-ESTACION_2000","2000","Portal del Norte","4.755476","-74.045886","0","","1","","","","0","",""
"100634-ESTACION_10000","10000","Portal 20 de Julio","4.565647","-74.097126","0","","1","","","","0","",""
"100634-ESTACION_4100","4100","Granja - Carrera 77","4.698709","-74.09538","0","","1","","","","0","",""
"100634-Z_55647_STOP","325A13","AC 1 - KR 7","4.586851","-74.082166","0","","0","","","","0","",""
"100634-Z_55188_STOP","005A13","AC 1 - KR 9","4.588776","-74.084028","0","","0","","","","0","",""
"100634-Z_57702_STOP","861A00","AC 1- KR 11","4.589919","-74.085758","0","","0","","","","0","",""
"100634-Z_56212_STOP","004A01","AC 153 - 7f","4.729395","-74.028117","0","","0","","","","0","",""
"100634-Z_55718_STOP","416A13","AC 6 - KR 0","4.589901","-74.072639","0","","0","","","","0","",""
"100634-Z_55714_STOP","412A13","AC 6 - KR 5","4.590089","-74.077901","0","","0","","","","0","",""
"100634-Z_57792_STOP","633A00","AC 6 - KR 5","4.590266","-74.07794","0","","0","","","","0","",""
"100634-Z_57919_STOP","717A00","AC 6 - KR 9","4.592521","-74.08137","0","","0","","","","0","",""
"100634-Z_52082_STOP","115A11","AC1 - KR 18","4.593041","-74.093016","0","","0","","","","0","",""
"100634-Z_58153_STOP","331A13","AK 7 - CL 2","4.589346","-74.080256","0","","0","","","","0","",""
"100634-Z_55614_STOP","025A02","CL 138 - 74","4.730701","-74.071705","0","","0","","","","0","",""
"100634-Z_58207_STOP","478A13","CL 2 - KR 8","4.589464","-74.081293","0","","0","","","","0","",""
"100634-Z_55664_STOP","354A13","CL 7 - KR 0","4.592044","-74.071952","0","","0","","","","0","",""
"100634-Z_57679_STOP","452A00","CL 7 - KR 1","4.592529","-74.071958","0","","0","","","","0","",""
"100634-Z_55665_STOP","358A13","CL 7 - KR 4","4.593899","-74.074864","0","","0","","","","0","",""
"100634-Z_55655_STOP","338A13","KR 2 - CL 3","4.587981","-74.074607","0","","0","","","","0","",""
"100634-Z_55599_STOP","283A13","KR 3 - AC 1","4.582763","-74.078404","0","","0","","","","0","",""
"100634-Z_55598_STOP","281A13","KR 3 - CL 1","4.582259","-74.07941","0","","0","","","","0","",""
"100634-Z_57791_STOP","632A00","KR 4 - CL 6","4.592691","-74.074928","0","","0","","","","0","",""
"100634-Z_57680_STOP","455A00","KR 4 - CL 9","4.594906","-74.073682","0","","0","","","","0","",""
"100634-Z_55708_STOP","405A13","KR 5 - CL 5","4.591994","-74.076346","0","","0","","","","0","",""
"100634-Z_57014_STOP","114A00","KR 5 - CL 8","4.594958","-74.074741","0","","0","","","","0","",""
"100634-Z_53446_STOP","087A12","AC 1 - AK 10","4.589648","-74.085667","0","","0","","","","0","",""
"100634-Z_53445_STOP","086A12","AC 1 - KR 12","4.590642","-74.087224","0","","0","","","","0","",""
"100634-Z_52061_STOP","114A11","AC 1 - KR 19","4.593561","-74.094977","0","","0","","","","0","",""
"100634-Z_52059_STOP","113A11","AC 1 - KR 22","4.59411","-74.096785","0","","0","","","","0","",""
"100634-Z_52060_STOP","113B11","AC 1 - KR 24","4.594574","-74.098214","0","","0","","","","0","",""
"100634-Z_55648_STOP","326A13","AC 1 - KR 5a","4.585259","-74.080549","0","","0","","","","0","",""
"100634-Z_50382_STOP","247A00","AC 19 - KR 4","4.603701","-74.069482","0","","0","","","","0","",""
"100634-Z_57419_STOP","247C00","AC 19 - KR 5","4.604695","-74.070891","0","","0","","","","0","",""
"100634-Z_57390_STOP","245B00","AC 19 - KR 5","4.604764","-74.070475","0","","0","","","","0","",""
"100634-Z_57420_STOP","247D00","AC 19 - KR 5","4.604872","-74.071126","0","","0","","","","0","",""
"100634-Z_57388_STOP","244B00","AC 19 - KR 7","4.605664","-74.071915","0","","0","","","","0","",""
"100634-Z_57389_STOP","245A00","AC 19 - KR 7","4.604974","-74.070792","0","","0","","","","0","",""
"100634-Z_50436_STOP","243B00","AC 19 - KR 8","4.606406","-74.073487","0","","0","","","","0","",""
"100634-Z_57387_STOP","244A00","AC 19 - KR 9","4.606123","-74.072635","0","","0","","","","0","",""
"100634-Z_57435_STOP","257A00","AC 19 - Kr25","4.6153","-74.085078","0","","0","","","","0","",""
"100634-Z_57733_STOP","510A00","AC 20 - AK 1","4.603148","-74.061836","0","","0","","","","0","",""
"100634-Z_57731_STOP","508A00","AC 20 - KR 1","4.602886","-74.061828","0","","0","","","","0","",""
"100634-Z_56094_STOP","033A07","AC 3 - AK 36","4.607552","-74.106417","0","","0","","","","0","",""
"100634-Z_53680_STOP","040A08","AC 3 - AK 36","4.607317","-74.106457","0","","0","","","","0","",""
"100634-Z_56095_STOP","034A07","AC 3 - KR 38","4.609294","-74.108448","0","","0","","","","0","",""
"100634-Z_53681_STOP","041A08","AC 3 - KR 38","4.609597","-74.109032","0","","0","","","","0","",""
"100634-Z_54695_STOP","551A08","AC 3 - KR 41","4.611322","-74.11018","0","","0","","","","0","",""
"100634-Z_56100_STOP","039A07","AC 3 - KR 41","4.6133","-74.112206","0","","0","","","","0","",""
"100634-Z_56097_STOP","036A07","AC 3 - KR 56","4.619476","-74.119235","0","","0","","","","0","",""
"100634-Z_53684_STOP","044A08","AC 3 - KR 60","4.621238","-74.121526","0","","0","","","","0","",""
"100634-Z_56098_STOP","037A07","AC 3 - KR 60","4.621107","-74.120938","0","","0","","","","0","",""
"100634-Z_56944_STOP","075A00","AC 45 - KR 8","4.631664","-74.06537","0","","0","","","","0","",""
