route_id,service_id,trip_id,shape_id
Z_5637,3,BCGZ20001-02-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-02-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-03-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-03-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-04-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-04-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-05-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-05-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-06-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-06-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-07-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-07-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-08-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-08-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-09-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-09-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-10-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-10-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-11-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-11-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-12-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-12-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20001-13-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20001-13-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-02-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-02-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-03-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-03-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-04-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-04-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-05-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-05-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-06-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-06-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-07-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-07-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-08-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-08-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-09-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-09-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-10-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-10-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-11-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-11-3_Z_5637-2,Z_5637-2
Z_5637,3,BCGZ20002-12-3_Z_5637,Z_5637
Z_5637-2,3,BCGZ20002-12-3_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-02-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-02-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-03-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-03-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-04-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-04-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-05-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-05-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-06-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-06-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-07-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-07-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-08-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-08-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-09-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-09-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-10-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-10-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-11-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-11-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30001-12-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30001-12-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30002-02-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30002-02-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30002-03-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30002-03-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30002-04-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30002-04-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30002-05-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30002-05-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30002-06-7_Z_5637,Z_5637
Z_5637-2,7,BCGZ30002-06-7_Z_5637-2,Z_5637-2
Z_5637,7,BCGZ30002-07-7_Z_5637,Z_5637
